gameID,team,FG,FGA,3P,3PA,FT,FTA,ORB,TOV,DRB
202002250LAL,Los Angeles Lakers,45,102,13,44,15,21,14,16,37
202002250POR,Portland Trail Blazers,38,85,13,31,17,23,8,17,33
202002250TOR,Toronto Raptors,32,91,18,52,15,21,9,16,34
202002260ATL,Atlanta Hawks,42,94,13,36,23,25,9,9,33
202002260CHO,Charlotte Hornets,39,83,10,30,19,25,10,14,27
202002260CLE,Cleveland Cavaliers,41,78,11,24,15,17,9,18,39
202002260HOU,Houston Rockets,52,93,23,50,13,15,9,18,35
202002260MIA,Miami Heat,41,78,11,26,33,43,8,21,35
202002260PHO,Phoenix Suns,34,87,9,34,15,18,14,16,34
202002260SAS,San Antonio Spurs,39,92,11,33,14,19,13,15,42
202002260UTA,Utah Jazz,40,89,12,40,11,15,13,9,28
202002260WAS,Washington Wizards,41,96,15,39,13,16,9,11,30
202002270GSW,Golden State Warriors,34,80,9,32,9,10,5,26,32
202002270IND,Indiana Pacers,40,90,8,25,18,23,13,11,35
202002270OKC,Oklahoma City Thunder,41,84,9,26,21,29,10,9,27
202002270PHI,Philadelphia 76ers,45,91,15,31,10,13,11,6,33
202002280ATL,Atlanta Hawks,50,97,19,39,22,30,15,8,37
202002280LAC,Los Angeles Clippers,48,89,18,39,18,20,11,10,35
202002280MEM,Memphis Grizzlies,39,91,8,30,15,20,10,12,42
202002280MIA,Miami Heat,41,79,17,35,27,36,6,9,34
202002280MIL,Milwaukee Bucks,50,100,21,45,12,14,14,17,52
202002280NOP,New Orleans Pelicans,48,88,9,23,11,15,12,16,37
202002280ORL,Orlando Magic,53,98,12,40,18,22,10,15,44
202002280PHO,Phoenix Suns,45,75,9,23,12,17,5,18,33
202002280TOR,Toronto Raptors,33,95,10,43,20,29,14,5,31
202002280UTA,Utah Jazz,44,89,19,37,22,30,15,15,39
202002290ATL,Atlanta Hawks,46,84,18,42,19,22,5,18,31
202002290BOS,Boston Celtics,39,100,13,42,19,25,14,14,40
202002290CLE,Cleveland Cavaliers,41,85,5,22,17,20,6,13,30
202002290MEM,Memphis Grizzlies,43,95,10,31,9,11,15,7,36
202002290MIA,Miami Heat,41,91,14,38,20,24,10,6,35
202002290NYK,New York Knicks,47,85,8,20,23,33,17,16,33
202002290PHO,Phoenix Suns,34,83,12,29,19,23,8,19,32
202002290SAS,San Antonio Spurs,44,84,14,31,12,16,4,17,27
202003010CHO,Charlotte Hornets,34,96,8,35,9,10,12,10,35
202003010DEN,Denver Nuggets,47,83,18,36,21,30,7,16,34
202003010GSW,Golden State Warriors,42,89,9,28,17,24,18,21,34
202003010LAC,Los Angeles Clippers,45,76,13,24,33,41,6,10,31
202003010MIN,Minnesota Timberwolves,36,99,13,42,6,15,14,13,43
202003010NOP,New Orleans Pelicans,40,95,7,32,27,33,15,16,37
202003010SAC,Sacramento Kings,37,91,9,35,23,26,17,10,34
202003020ATL,Atlanta Hawks,32,99,9,35,15,16,16,17,27
202003020CHI,Chicago Bulls,44,94,10,36,11,17,12,14,30
202003020CLE,Cleveland Cavaliers,42,91,17,41,12,18,11,6,25
202003020MIA,Miami Heat,37,86,18,37,13,18,6,9,40
202003020NYK,New York Knicks,47,97,12,30,19,30,20,17,45
202003020ORL,Orlando Magic,37,96,14,43,19,22,11,6,28
202003020SAS,San Antonio Spurs,40,77,16,32,15,19,3,14,30
202003030BOS,Boston Celtics,44,103,15,49,17,23,13,15,29
202003030CHO,Charlotte Hornets,39,82,12,29,13,18,14,17,32
202003030DEN,Denver Nuggets,39,87,3,20,19,26,19,15,34
202003030LAL,Los Angeles Lakers,46,86,13,33,15,18,10,13,33
202003030NOP,New Orleans Pelicans,52,100,14,39,16,27,13,15,31
202003030OKC,Oklahoma City Thunder,34,81,9,28,17,26,8,13,35
202003030PHO,Phoenix Suns,39,85,15,39,21,25,6,18,29
202003030SAC,Sacramento Kings,50,89,13,29,20,24,8,15,34
202003040BRK,Brooklyn Nets,30,90,7,42,12,17,13,13,29
202003040CLE,Cleveland Cavaliers,39,89,13,38,15,20,17,12,33
202003040DAL,Dallas Mavericks,44,95,22,50,17,24,6,16,43
202003040DET,Detroit Pistons,40,86,18,43,9,15,9,17,27
202003040MIA,Miami Heat,41,79,22,44,12,15,6,12,30
